,id,team,player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
0,400277722,Boston Celtics,Brandon Bass,28,6-11,0-0,3-4,6,5,11,1,0,0,1,2,-8,15
0,400277722,Boston Celtics,Paul Pierce,41,6-15,2-4,9-9,0,5,5,5,2,0,0,3,-17,23
0,400277722,Boston Celtics,Kevin Garnett,32,4-8,0-0,1-1,1,11,12,2,0,2,5,4,-4,9
0,400277722,Boston Celtics,Rajon Rondo,44,9-14,0-2,2-4,0,7,7,13,0,0,4,4,-13,20
0,400277722,Boston Celtics,Courtney Lee,24,5-6,1-1,0-0,0,1,1,1,0,0,1,5,-7,11
0,400277722,Boston Celtics,Jared Sullinger,8,1-2,0-0,0-0,0,1,1,0,0,0,0,1,-3,2
0,400277722,Boston Celtics,Jeff Green,23,0-4,0-0,3-4,0,3,3,0,1,0,1,0,-7,3
0,400277722,Boston Celtics,Jason Terry,25,2-7,0-3,4-4,0,0,0,1,1,0,3,3,-10,8
0,400277722,Boston Celtics,Leandro Barbosa,16,6-8,3-3,1-2,0,1,1,1,0,0,0,1,+4,16
0,400277722,Boston Celtics,Chris Wilcox,,,,,,,,,,,,,,
0,400277722,Boston Celtics,Kris Joseph,,,,,,,,,,,,,,
0,400277722,Boston Celtics,Jason Collins,,,,,,,,,,,,,,
0,400277722,Boston Celtics,Darko Milicic,,,,,,,,,,,,,,
0,400277722,Miami Heat,Shane Battier,29,2-4,2-3,0-0,0,2,2,1,1,0,0,3,+12,6
0,400277722,Miami Heat,LeBron James,29,10-16,2-4,4-5,1,9,10,3,2,0,0,2,+12,26
0,400277722,Miami Heat,Chris Bosh,37,8-15,0-1,3-4,2,8,10,1,0,3,1,3,+15,19
0,400277722,Miami Heat,Mario Chalmers,36,3-7,0-1,2-2,0,1,1,11,3,0,1,3,+11,8
0,400277722,Miami Heat,Dwyane Wade,35,10-22,0-0,9-11,2,1,3,4,2,1,4,3,-6,29
0,400277722,Miami Heat,Udonis Haslem,11,0-1,0-0,0-0,0,3,3,0,0,0,1,1,-2,0
0,400277722,Miami Heat,Rashard Lewis,19,4-5,1-2,1-2,0,5,5,1,0,1,0,1,+1,10
0,400277722,Miami Heat,Norris Cole,6,1-2,1-2,0-0,0,0,0,1,0,0,1,2,+5,3
0,400277722,Miami Heat,Ray Allen,31,5-7,2-3,7-8,0,2,2,2,0,0,0,1,+9,19
0,400277722,Miami Heat,Mike Miller,7,0-0,0-0,0-0,0,0,0,1,0,0,0,1,+8,0
0,400277722,Miami Heat,James Jones,,,,,,,,,,,,,,
0,400277722,Miami Heat,Josh Harrellson,,,,,,,,,,,,,,
0,400277722,Miami Heat,Terrel Harris,,,,,,,,,,,,,,
0,400277737,Milwaukee Bucks,Ersan Ilyasova,25,3-7,1-1,0-0,4,7,11,1,1,0,2,4,+10,7
0,400277737,Milwaukee Bucks,Tobias Harris,33,8-11,2-2,0-0,0,6,6,2,0,1,3,1,+9,18
0,400277737,Milwaukee Bucks,Samuel Dalembert,15,1-1,0-0,0-0,1,2,3,1,0,0,1,1,+6,2
0,400277737,Milwaukee Bucks,Monta Ellis,37,6-20,2-6,0-0,1,2,3,4,0,0,2,1,+12,14
0,400277737,Milwaukee Bucks,Brandon Jennings,29,9-17,1-3,2-3,0,2,2,13,6,0,2,2,+12,21
0,400277737,Milwaukee Bucks,Ekpe Udoh,23,3-5,0-0,4-4,2,1,3,1,2,2,1,1,+7,10
0,400277737,Milwaukee Bucks,Mike Dunleavy,23,2-5,1-1,2-2,1,5,6,2,2,0,2,0,+10,7
0,400277737,Milwaukee Bucks,Marquis Daniels,10,0-5,0-2,0-0,0,0,0,0,1,0,1,1,-4,0
0,400277737,Milwaukee Bucks,Larry Sanders,22,5-7,0-0,0-0,2,5,7,0,0,2,1,5,0,10
0,400277737,Milwaukee Bucks,Beno Udrih,21,3-6,1-3,3-3,0,5,5,2,0,0,3,1,+2,10
0,400277737,Milwaukee Bucks,Doron Lamb,3,0-2,0-0,0-0,0,0,0,0,0,0,0,0,-9,0
0,400277737,Milwaukee Bucks,Drew Gooden,,,,,,,,,,,,,,
0,400277737,Milwaukee Bucks,Joel Przybilla,,,,,,,,,,,,,,
0,400277737,Boston Celtics,Brandon Bass,27,3-6,0-1,4-4,1,5,6,3,1,0,1,0,-13,10
0,400277737,Boston Celtics,Paul Pierce,28,3-11,1-3,4-4,0,6,6,2,0,0,4,3,-9,11
0,400277737,Boston Celtics,Kevin Garnett,26,6-14,0-0,3-5,1,3,4,0,1,2,1,1,-4,15
0,400277737,Boston Celtics,Rajon Rondo,41,6-12,0-1,2-4,0,4,4,11,3,0,2,3,-14,14
0,400277737,Boston Celtics,Courtney Lee,33,3-7,1-3,0-0,1,1,2,1,1,0,3,2,-14,7
0,400277737,Boston Celtics,Jared Sullinger,18,2-5,0-0,2-2,3,4,7,0,1,1,0,4,-4,6
0,400277737,Boston Celtics,Jeff Green,27,5-9,1-4,0-0,0,1,1,0,2,1,1,0,-16,11
0,400277737,Boston Celtics,Chris Wilcox,3,0-0,0-0,2-2,0,1,1,1,0,0,0,0,+9,2
0,400277737,Boston Celtics,Kris Joseph,3,0-0,0-0,0-0,0,1,1,1,0,0,1,0,+9,0
